股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
沐曦股份-U,688802,2025-12-17,700.0,829.9,895.0,650.0,153670,11259382525.0,234.09,692.95,725.24,84.72
沐曦股份-U,688802,2025-12-18,763.0,787.04,829.0,756.0,68398,5408191370.0,8.8,-5.16,-42.86,37.71
沐曦股份-U,688802,2025-12-19,800.0,715.6,808.11,710.0,61475,4521831367.0,12.47,-9.08,-71.44,33.89
沐曦股份-U,688802,2025-12-22,702.0,703.35,725.0,672.5,36845,2578449078.0,7.34,-1.71,-12.25,20.31
沐曦股份-U,688802,2025-12-23,693.36,667.6,693.36,666.66,45455,3068337644.0,3.8,-5.08,-35.75,25.06
沐曦股份-U,688802,2025-12-24,660.3,620.66,666.5,617.98,46320,2920529698.0,7.27,-7.03,-46.94,25.54
沐曦股份-U,688802,2025-12-25,620.18,642.94,665.72,605.0,43280,2787975636.0,9.78,3.59,22.28,23.86
沐曦股份-U,688802,2025-12-26,628.01,619.7,635.99,612.05,27843,1731004485.0,3.72,-3.61,-23.24,15.35
沐曦股份-U,688802,2025-12-29,610.0,615.1,629.9,609.6,21036,1305339611.0,3.28,-0.74,-4.6,11.6
沐曦股份-U,688802,2025-12-30,610.0,608.92,622.07,605.11,21127,1293429681.0,2.76,-1.0,-6.18,11.65
沐曦股份-U,688802,2025-12-31,610.07,580.1,610.07,580.0,27541,1613850964.0,4.94,-4.73,-28.82,15.18
